Province,ContractCost,DelayDays,ProjectID,TotalPopulation,Good_Infra_Ratio,party,PerCapitaSpending
PALAWAN,3816459898.42,59.30864197530864,81,,0.36917562724014336,PPPL,
PAMPANGA,13506226352.63,6.110294117647059,272,,0.7203389830508474,NPC,
PANGASINAN,13053934206.85,-10.683333333333334,300,3163190.0,0.5922330097087378,NP,4126.825833051445
PARAÃÂAQUE CITY,3718426322.34,-5.166666666666667,84,,,,
PASAY CITY,1264557480.71,-38.21739130434783,23,440656.0,,,2869.7157889827895
PASIG CITY,1590773838.39,30.115942028985508,69,,,,
PATEROS,1095335199.49,10.75,20,65227.0,,,16792.66560611403
QUEZON,6459035482.7300005,-11.444444444444445,126,,0.46613545816733065,NPC,
QUEZON CITY,5223255457.92,5.2086330935251794,139,2960048.0,,,1764.5847154911003
QUIRINO,267927833.1,-67.57142857142857,7,203828.0,0.8043478260869565,PDDS,1314.480017956316
RIZAL,6318509385.09,-40.44025157232704,159,3330143.0,0.4791666666666667,NPC,1897.3687871932227
ROMBLON,5090137299.87,-52.611111111111114,72,308985.0,0.3063063063063063,PDPLBN,16473.73594145347
SAMAR (WESTERN SAMAR),2385494538.46,-18.470588235294116,51,793183.0,,,3007.4957966320508
SAN JUAN CITY,718465018.74,148.07692307692307,13,,,,
SARANGANI,2510084839.39,-2.4615384615384617,39,558946.0,0.23636363636363636,PCM,4490.746582657359
SIQUIJOR,299262723.35,-6.75,4,103395.0,0.21428571428571427,NPC,2894.363589631994
SORSOGON,6356673401.48,-8.669291338582678,127,828655.0,0.23300970873786409,NPC,7671.073488339538
SOUTH COTABATO,3546262147.17,7.246913580246914,81,,0.5416666666666666,PFP,
SOUTHERN LEYTE,2728079862.78,17.245283018867923,53,429573.0,0.7828947368421053,PDPLBN,6350.678144995147
SULTAN KUDARAT,2890512092.41,12.633333333333333,60,854052.0,0.7849462365591398,LAKAS,3384.4685012270916
SULU,163413072.64,10.666666666666666,3,1000108.0,,PDPLBN,163.39542593399912
SURIGAO DEL NORTE,5412775282.3,-9.282051282051283,78,534636.0,0.7741935483870968,NP,10124.22523417802
SURIGAO DEL SUR,5195368009.57,-25.17910447761194,67,642255.0,0.6118421052631579,PDPLBN,8089.260511120971
TAGUIG CITY,5237020034.94,-15.887096774193548,62,,,,
TARLAC,18247558426.09,-4.591269841269841,252,1503456.0,0.8315789473684211,NPC,12137.075129628003
VALENZUELA CITY,2190907208.91,7.84,50,,,,
ZAMBALES,4639048547.52,-64.34246575342466,73,,0.9594594594594594,SZP,
ZAMBOANGA DEL NORTE,1656101821.02,122.3529411764706,34,1047455.0,0.5909090909090909,NP,1581.0720470282733
ZAMBOANGA DEL SUR,2007918269.35,35.54838709677419,62,,0.4122137404580153,PDPLBN,
ZAMBOANGA SIBUGAY,1450367017.96,55.2,25,669840.0,0.22033898305084745,,2165.243965663442
